Theme,Complete Phrase,Puzzle,About phrase
Aviation - 30,Aircraft cabin lights are dimmed during night landings for emergency eye adjustment.,_#__@___ _____ ______ _@_ _#__#_ ___@__ __#__ __n___@_ _@_ _#__g____ e__ __________.,Fun Facts
Aviation - 31,Supersonic flight creates a loud sonic boom that shakes ground structures below.,_#_____@__ @___#_ ___#___ _ ____ ____@ @___ ____ ___k_s _ro___ _#_@___#__ b____.,Fun Facts
Aviation - 32,Turbulence is caused by sudden shifts in atmospheric air currents and thermal wind.,___#____#_ __ ___@__ __ ____#_ @___#_ __ __#______@_ a__ _u______ ___ t______ _@_@.,Fun Facts
Aviation - 33,The world's shortest commercial flight lasts under two minutes in Scotland.,___ _____'_ _#__@_#_ ____#_____ __#_@_ l_@__ __@_r __@ _#_____ i_ ______n_.,Fun Facts
Aviation - 34,Space travel begins at the Karman line located one hundred kilometers high.,_____ t_____ __@_#_ _@ _@_ _____n _#__ _#__#__ o__ ___#___ _i__me___@ __@_.,Fun Facts
Aviation - 35,Aviation safety standards make flying statistically safer than driving a car.,________ ____#_ __#__#___ _@__ ______ @__@___@__#__ ___e_ t__@ d__v___ a _#_.,Fun Facts
Aviation - 36,The first woman to fly solo across the Atlantic Ocean was Amelia Earhart.,___ _#___ @____ @_ _@_ s_l_ __#___ t__ ______@_ ___#_ _a_ _@__#_ ___#___.,Fun Facts
Aviation - 37,Radar systems bounce radio waves off aircraft to track exact position and speed.,_#___ ___@___ _@____ r____ _a___ o__ _#___#__ t_ ___@_ @__#_ @_______ _n_ __#__.,Fun Facts
Aviation - 38,Hot air balloons were the earliest successful human flight technology in history.,___ ___ __#_____ w___ _h_ _@_@____ ___#__#___ _#_a_ @_____ _#________ _@ __@____.,Fun Facts
Aviation - 39,Oxygen masks provide emergency air for roughly fifteen minutes once deployed.,_____@ ___#_ ____@__ _________ ___ f__ _#___@_ ___#_e_ ___#___ @___ d_#_@___.,Fun Facts
Aviation - 40,Airplane seats are engineered to withstand extreme forces during hard landings.,_#______ ___#_ ___ _@_@_#__e_ t_ ___@__a__ _____#_ __r___ @_@___ ____ _#______.,Fun Facts
Aviation - 41,Jet engines ingest huge amounts of air to generate forward thrust effectively.,@__ ____@__ _@__#_ _#__ _#_____ __ _#_ _@ _#____@_ f______ t_____ e__________.,Fun Facts
Aviation - 42,The Concorde could cross the Atlantic Ocean in under three and a half hours.,_#_ _@______ @____ __#__ _#_ ___a_@__ _@___ i_ u__@_ t____ _#_ _ h___ __#__.,Fun Facts
Aviation - 43,Inflight food tastes different because high altitude dulls your taste buds.,___@_@_t ___d _as_#_ ___f___#_ ___#___ __#_ @______@ __@__ _o__ _#___ ____.,Fun Facts
Aviation - 44,Modern glass cockpits replace manual analog gauges with digital screen displays.,____#_ ___@_ ____p_#_ __#_@__ ____@_ a_____ ___#__ _i__ ___#___ _c___@ @_______.,Fun Facts
Aviation - 45,The sound barrier was first broken by Chuck Yeager in a rocket powered plane.,_#_ _#___ _@____@ ___ _@_#_ ______ __ _____ __#___ @_ a @____t __w__#_ p____.,Fun Facts
Aviation - 46,Airport runways are numbered based on their precise magnetic compass heading.,_______ r____#_ a__ ____#___ @____ _@ ____@ __#___@ __@_____ __#__#_ h______.,Fun Facts
Aviation - 47,Most commercial jet airliners fly at a cruising altitude of thirty thousand feet.,__@_ __#__@____ ___ ___#__#__ ___ @_ _ __#_____ _____#__ @_ t__@__ ________ __e_.,Fun Facts
Aviation - 48,Emergency evacuation slides deploy and inflate fully in less than ten seconds.,______#__ ___@_#_@__ ___@__ ____@_ __@ ____#__ _____ _n l___ __a_ t__ __#__#_.,Fun Facts
Aviation - 49,Heavy cargo planes can carry military tanks and massive vehicles across oceans.,_____ ____@ ______ @__ _#___ _______@ ___#_ __@ _a_#__e v_______ __#__s _@_#__.,Fun Facts
Aviation - 50,Aviation technology continues to evolve toward sustainable electric propulsion.,_#__#_o_ ___h___@__ c________ _@ ___@__ ___#__ _@____@____ _#______ ____u___#_.,Fun Facts
Music - 1,Music lowers stress levels by reducing cortisol production in your brain naturally.,_#___ ______ __#___ _#__#_ b_ __du_i_@ _#____@_ ____@_@_o_ _n y___ __a__ ______@__.,Fun Facts
Music - 2,Listening to upbeat songs boosts physical performance and endurance during workouts.,__#______ t_ @_____ __#__ _#__@_ ____#___ ______@__#_ a__ e________ ____@_ __@_____.,Fun Facts
Music - 3,The world's oldest playable musical instrument is a bird bone flute aged over thirty millennia.,@__ __@__'_ _#____ __#_____ _____@_ ____#_____ @_ _ _#__ b___ f_#__ a___ _v__ ____@_ m________.,Fun Facts
Music - 4,Your heart rate dynamically adjusts to match the specific tempo of the music you hear.,_#__ _____ _@__ ______#__@_ ___@___ __ _a___ t__ __@_____ _#__@ o_ __e __#__ y__ _#__.,Fun Facts
Music - 5,Plants grow faster and healthier when exposed to soothing classical melodies daily.,_#____ ___@ _@_#__ ___ _____#___ ____ e______ t_ __o@__@_ ____#_c_@ ___#____ d____.,Fun Facts
Music - 6,Singing in a group releases endorphins and creates strong feelings of social connection.,__#__@_ __ _ _____ ________ _@_o_#____ _#_ c___@__ s_____ ___#___@ __ __@___ ___#______.,Fun Facts
Music - 7,Singer Prince played 27 different instruments on his very first debut album.,______ P_i_@_ __@___ 27 _#___#___ _@__#______ o_ __@ _#__ __#_t __@__ a____.,Fun Facts
Music - 8,Learning an instrument improves memory retention and spatial reasoning skills in kids.,___#___@ __ ____r_m___ ____#___ ____#_ _e_______ __@ __@____ ______#__ @__@__ i_ __#_.,Fun Facts
Music - 9,Astronauts regularly listen to wake up songs selected by NASA mission controllers.,___#______ __@_#_@__ ____#_ __ ____ __ s____ ________ b_ N___ ______@ @___@_#__#_.,Fun Facts
Music - 10,An earworm occurs when a catchy tune loops endlessly inside your subconscious mind.,__ __#____ ____#_ __@_ _ @_____ ____ l____ __#______ _@_@__ y___ __#__#___@__ m___.,Fun Facts
Music - 11,Cows produce significantly more milk when listening to relaxing acoustic tracks.,_#__ _@_____ _#______@___@ ____ __#_ w___ _#_______ _o @__a____ ____#___ __@___.,Fun Facts
Music - 12,The national anthem of Monaco contains no written lyrics and is purely instrumental.,___ ____#___ _@_#__ __ ___@__ ________ n_ _#__@__ l___#_ a__ i_ __@___ _@s__#______.,Fun Facts
Music - 13,Binaural beats can alter brainwave frequencies to induce deep mental relaxation.,____#___ _____ c__ @__@_ _______#_ @___#_____@ _@ ___#__ d___ ___#__ ___a__t___.,Fun Facts
Music - 14,Heavy metal music helps many listeners process intense anger and reduce stress.,_@___ _____ _____ ____@ ____ __#___e__ _#__#__ i_#__#_ @__@_ __d _____@ s_____.,Fun Facts
Music - 15,Playing music engages virtually every single region of the central nervous system.,_#__@__ ___#_ _@__#__ _____#___ ____y _____@ r_#__n _f _h_ ___@___ _______ @_____.,Fun Facts
Music - 16,The world's longest running musical performance will end in the year twenty six forty.,___ _#___'_ _#__@__ @______ @______ _@_@o____#_ ___l e__ i_ t__ __a_ __#___ _#_ f____.,Fun Facts
Music - 17,Jimi Hendrix could play complex guitar solos with his teeth and behind his head.,____ _______ _#_@_ ____ @______ _#__#_ ___@_ __t_ _#_ __@__ a__ b___#_ @__ h___.,Fun Facts
Music - 18,Loud background music encourages restaurant patrons to consume food much faster.,____ _______#__ _#__@ e_________ __#____#__ p_____s @_ c@_____ @___ ___h _@_#__.,Fun Facts
Music - 19,Mozart wrote his very first symphony when he was only eight years old.,___#__ _____ ___ _#__ ____@ _@__#__@ w___ _e _a_ __#_ _#___ y___@ @__.,Fun Facts
Music - 20,Chirp sounds from crickets change pitch depending on local ambient temperatures.,_____ _#____ ____ ___@____ __@_#_ _____ ____@__#_ __ ___#_ a______ t_@_@r___#__.,Fun Facts
Music - 21,Vinyl records reproduce warm analog sound waves that digital files often compress.,___@_ ___@___ _#___@___ ____ ___#__ s____ ___@_ t___ ___#___ ___#_ ___#_ _o__@___.,Fun Facts
Music - 22,The term piano is short for pianoforte which means soft and loud in Italian.,@__ _#__ _#_@_ __ _____ _#_ _@________ __@__ ___n_ _o_@ a__ __#_ i_ _#_____.,Fun Facts
Music - 23,Groove rhythm naturally compels human bodies to move and dance to the beat.,____#_ ______ __#__#__y ______@ @__#_ b_____ t_ _#__ _n_ _@_@_ __ @__ _e__.,Fun Facts
Music - 24,Whales create complex songs that travel thousands of miles through ocean waters.,_#____ ______ c______ _#___ _#__ ___#__ ____#_n__ _f ___@_ _@___@_ o__@_ ___@__.,Fun Facts
Music - 25,Listening to favorite tunes releases dopamine similar to eating fine chocolates.,_#__@____ __ _#____#_ __@__ r_______ @__a_#__ s______ @_ __t___ ___@ ch__o_#___.,Fun Facts
Music - 26,A conductor uses a wooden baton to keep complex orchestral timing synchronized.,_ _________ __@_ a w_____ _#_@_ _o _#__ c__#___ __#_______ ___#__ _@_@_______@.,Fun Facts
Music - 27,Music therapy helps stroke victims regain lost speech and motor movement abilities.,_____ ____@_@ _____ ______ ____@__ @___in l___ ___#__ _#_ @____ _#__#___ a____#___.,Fun Facts
Music - 28,The Beatles used backward recorded audio tracks on several famous studio albums.,___ _#_____ ____ _#___@__ _@_@_d__ _@___ t_____ o_ __#____ ___#__ ___#__ _l@___.,Fun Facts
Music - 29,Certain musical chords can trigger intense chills down your spine instantly.,_______ _@___#_ ____#_ c__ ___@___ _____s_ ___@__ _#__ y___ @__#_ @____#___.,Fun Facts
Music - 30,Film scores utilize subtle audio cues to manipulation emotional responses in viewers.,_#__ ___@__ _______ ___t_@ ___#_ @__s __ _______#__@_ _____#___ r________ i_ __@_#__.,Fun Facts
Music - 31,High pitched music makes sweet flavors taste stronger and much more pronounced.,____ _____#_ m____ @____ _#___ __#____ @____ ___#___@ _@_ ___h ____ ____o_#_@_.,Fun Facts
Music - 32,Low frequency bass notes cause physical vibrations you feel inside your chest.,___ _#__#____ ____ _@___ ___#_ _@_s____ _@________ y__ __@l _n__@_ _#__ __#__.,Fun Facts
Music - 33,Opera singers can break crystal glassware by matching its natural resonance frequency.,_____ _______ ___ _#___ _@_@___ __#______ __ ____#___ i__ __#____ __#_na__@ _r__@___@.,Fun Facts
Music - 34,The first song ever broadcast from space was Jingle Bells played on a harmonica.,___ @____ @___ _#__ __#___#__ _@__ _@___ _#_ J_____ _e___ p_____ _@ a __#_o_i__.,Fun Facts
Music - 35,Finland has more heavy metal bands per capita than any other country globally.,_@_____ _@_ ___@ _#___ ___a_ __#__ _e_ @___#_ t___ __y o____ _#__@__ ___#____.,Fun Facts
Music - 36,Synthesizers allowed musicians to generate entirely new electronic soundscapes.,__#____@____ _#___#_ _______@_ t_ _#___a__ e_______ n__ _______@__ s_@___#_@__.,Fun Facts
Music - 37,Lullabies help soothe restless babies by mimicking the rhythm of a heartbeat.,_________ @___ ____he _#___#__ _@_#__ b_ _______@_ t__ __#__@ @_ a ___#_____.,Fun Facts
Music - 38,Music education enhances linguistic processing and foreign language acquisition.,_____ e________ __@_@_#_ @______t__ _____s_#__ _#_ @______ __@__#__ _________#_.,Fun Facts
Music - 39,The sound of rain creates natural pink noise that helps people fall asleep fast.,___ ___#_ __ r___ @____#_ ____@__ _@__ ___se _#__ __#__ ____#_ ___@ __l@__ ___t.,Fun Facts
Music - 40,Jazz music relies heavily on spontaneous improvisation between all ensemble players.,____ __#__ _____@ @___#__ o_ ____#______ ___#_v__@____ b______ a__ _#____@e ____@__.,Fun Facts
Music - 41,Harmonica is officially the best selling musical instrument across the entire world.,____#__@_ __ __________ ___ __#_ ______@ _#_@___ i_____@___ ___#__ t__ _#___@ w____.,Fun Facts
Music - 42,Listening to sad songs can paradoxically make people feel comforted and happy.,_______#_ __ ___ __@__ _#_ _#___@____#_y _@_@ p___#_ f___ _o______@ a__ h____.,Fun Facts
Music - 43,Different musical scales evoke distinct emotional reactions in various cultures.,______@__ _____#_ s_____ ___#_ d_______ ______@a_ __#__#___ i_ __#_ou_ @__@___@.,Fun Facts
Music - 44,Microtonal music utilizes tiny interval spaces between standard piano keys.,__#___#___ @__@_ ____#___ __#_ i_______ s__@__ @______ _____#_d p____ _@__.,Fun Facts
Music - 45,Pigeons can learn to distinguish between classical composers like Bach and Stravinsky.,_______ _#_ _#___ __ ________i_@ @______ __#_@__#_ __#______ l___ B___ @_d _@________.,Fun Facts
Music - 46,Stradivarius violins owe their rich sound quality to dense antique spruce wood.,___#____#___ __#___@ __@ _#___ _@__ ____@ _______ __ d____ ____@__ s_#___ wo__.,Fun Facts
Music - 47,Silence between musical notes is just as important as the notes played themselves.,____@__ _#____@ ____#__ __@__ _@ __@_ __ __#______ a_ t__ __#__ _#____ ______l___.,Fun Facts
Music - 48,Video game soundtracks are crafted to enhance focus without causing distraction.,___#_ ____ ____@_#____ _@_ __@_#__ t_ ___a__e __#__ w______ ____#__ ___@_@_____.,Fun Facts
Music - 49,Rhythmic drumming has been used for millennia in sacred healing ceremonies.,____#__@ ________ @__ ____ u___ __@ ____@_#__ i_ _#__ed __#____ ____@__#__.,Fun Facts
Music - 50,Music is a universal human language that transcends all cultural boundaries.,___@_ __ _ _______#_ __@__ _a__#__@ ___@ _r__#____s ___ ___#____ _@__#_____.,Fun Facts
Dinosaurs - 1,Some dinosaurs were no bigger than a modern chicken in overall size.,__#_ @__@_#___ _@__ n_ b_g___ t_#_ a @_____ __i_#__ __ _@__#__ s___.,Fun Facts
Dinosaurs - 2,"Dinosaurs first appeared during the Triassic Period, over 230 million years ago.","@________ _____ __#_____ ___#__ _#_ ____@_@_ ____o_, _@__ 230 __#__#_ _@___ a__.",Fun Facts
Dinosaurs - 3,Dinosaur fossils have been found with preserved stomach contents inside them.,____#__r f_#____ _#__ __#_ ____@ w___ __#______ _@___c_ @___@___ i_____ ___@.,Fun Facts
Dinosaurs - 4,Tyrannosaurus rex lived closer to humans than it did to Stegosaurus.,@__#__#____#_ @__ _____ ______ t_ h_____ _#__ _@ __d __ S_@__@__#__.,Fun Facts
Dinosaurs - 5,Brachiosaurus had nostrils positioned near the top of its head.,__#__@__a_#_s _@_ __#_____ ____t___#_ ___@ _#_ ___ _@ @__ _e__.,Fun Facts
Dinosaurs - 6,Ornithomimus looked remarkably similar to a modern ostrich in shape.,__#___@__#__ ___#__ _@____@___ ___#___ __ a m__#__ o____@_ @_ s____.,Fun Facts
Dinosaurs - 7,Some dinosaur footprints show that groups may have traveled together.,__@e ___@__@_ ____#_____ _#__ _#__ ____@_ ma_ ____ _#__#__d _o____@_.,Fun Facts
Dinosaurs - 8,Duck-billed dinosaurs had complex teeth for grinding plant material.,@___-____@_ ___#__@__ _a_ _@__#__ ___#_ f__ ___#___g p____ __@___#_.,Fun Facts
Dinosaurs - 9,Dinosaur bones can become fossils when minerals slowly replace them.,__#___#_ __#__ __@ ______ @__@___ w___ ___#__l_ __@_#_ r____c_ ___@.,Fun Facts
Dinosaurs - 10,Stegosaurus had a brain that was surprisingly small for its body.,___#_____#_ ___ a _@_#_ t_@_ _#_ __@_________ s____ @__ _#_ @_d_.,Fun Facts
Dinosaurs - 11,Spinosaurus may have spent much of its life hunting near water.,___@____@__ __@ __@_ __#__ _#__ o_ _@_ _i__ __n__#_ __#_ _#___.,Fun Facts
Dinosaurs - 12,Many dinosaurs laid eggs in nests and may have guarded their young.,__#_ _@_______ __#_ _@__ _@ _#__s _@_ __y h___ _u___#_ ___#_ @__n_.,Fun Facts
Dinosaurs - 13,Dinosaur fossils have been found on every continent on Earth today.,________ ____#__ ____ _#__ ____@ _@ _v_#_ c_#_i_@__ o_ _#_@_ ____@.,Fun Facts
Dinosaurs - 14,"Birds are living dinosaurs, descended from a branch of theropods.","__#__ _#_ _@____ ___@____s, ___#__@e_ _#__ a _r____ o_ __#__@_@_.",Fun Facts
Dinosaurs - 15,"Dinosaur eggs came in many shapes and sizes, depending on the species.","_#______ _g__ ___@ _@ m___ _____@ __d ___#_, @___#____ on _#_ _@_#___.",Fun Facts
Dinosaurs - 16,Some dinosaur species lived in what is now the Arctic region.,__#_ di__s@__ _____#_ _@_#_ _@ w___ __ n__ __@ ____#_ @__#__.,Fun Facts
Dinosaurs - 17,"Mosasaurs were not dinosaurs, but giant marine reptiles.","__#_@__r_ __#_ __@ __#___#__, _u_ g____ ____@_ @_@__#__.",Fun Facts
Dinosaurs - 18,"Theropods included many meat-eating dinosaurs, such as T. rex.","_@___@_#_ _#__@_#_ ____ @___-__t___ _@____#_s, __#_ a_ _. r__.",Fun Facts
Dinosaurs - 19,Some dinosaurs had excellent eyesight that helped them hunt or avoid danger.,____ ___@_____ @__ ____#__#_ _#__#___ ___@ __@___ t___ h___ o_ _#__d ____@_.,Fun Facts
Dinosaurs - 20,Mosasaurus had powerful jaws that could crush giant sea turtles,_____#__#_ _@_ ___#____ j___ _#__ __@__ @____ @___t _#_ _u@____,Fun Facts
Dinosaurs - 21,Stegosaurus plates may have helped with display and body temperature.,______@_@__ ______ _@_ __#_ _#___@ __#_ _____#_ a@_ b___ ___#___t__e.,Fun Facts
Dinosaurs - 22,Some dinosaurs had extremely long tails that helped balance their bodies.,_@__ ____#____ _@_ _@___#___ @___ __#__ ___@ _#____ __la___ __e__ b_#___.,Fun Facts
Dinosaurs - 23,The word dinosaur means "terrible lizard" in ancient Greek language.,__@ ____ ____#___ _____ "__r_#_@_ __@_#_" i_ _nc__#_ _@_#_ l____@_e.,Fun Facts
Dinosaurs - 24,Ankylosaurus could use its tail club as a powerful defensive weapon.,_#___#______ _@___ __e _#_ _@__ c___ a_ _ _#______ ______@_@ @___#_.,Fun Facts
Dinosaurs - 25,Ankylosaurus had a heavily armored body and a powerful tail club.,______#__#__ h__ a __@_#__ ______@ bo__ _@_ _ _#_@___@ t_#_ ____.,Fun Facts
Dinosaurs - 26,Some dinosaurs could walk on 2 legs and switch to 4 when needed.,__#_ @__#____@ _____ __@_ __ 2 l___ _#_ __#_@_ t_ 4 __@_ n_#_e_.,Fun Facts
Dinosaurs - 27,Fossilized dinosaur skin has been discovered in several different species.,_______#__ _____@_r _#__ __@ ___n _@_@__#___ i_ _#___a_ ______#__ ____@__.,Fun Facts
Dinosaurs - 28,Some dinosaurs had feathers long before the first birds evolved.,S_#_ ___@_____ _#_ ____#___ @_n_ b__#__ _@_ _@___ __#__ __o__@_.,Fun Facts
Dinosaurs - 29,Sauropods included some of the largest animals ever to walk on land.,___#____@ _#___#__ __@_ __ _#_ ____@__ _____#_ @___ _o __@_ _n l___.,Fun Facts
Dinosaurs - 30,Some dinosaurs may have used feathers to keep their bodies warm.,__#_ @____@_#_ __@ ____ __@_ f_#_____ t_ _e__ __#__ _#_@__ w__m.,Fun Facts
Dinosaurs - 31,Some dinosaurs had hollow bones that helped reduce their body weight.,_#_e _i@______ @__ __#___ ___@_ t___ __#__d ______ _@___ __#_ __#_@_.,Fun Facts
Dinosaurs - 32,Some dinosaurs swallowed stones that may have helped grind their food.,_#__ _____#___ __#_@____ _#_@__ ___@ ___ h___ _#___d @____ t____ ___@.,Fun Facts
Dinosaurs - 33,"Pachy dinosaurs had a thick, dome-shaped skull.","__@_@ ___#_a_#_ h_@ _ _@___, __#_-@___#_ s_#__.",Fun Facts
Dinosaurs - 34,Dinosaur footprints can reveal how fast some dinosaurs once moved.,_@____#_ @_o__@_#__ c__ _#_e__ __w _a__ __m_ _i___#_@_ ___@ __#__.,Fun Facts
Dinosaurs - 35,"Triceratops had three horns and a large, bony frill behind its head.","_@_#_____@_ ___ __#__ _#___ _@_ a ____@, b_#_ f_@__ ______ i__ _#__.",Fun Facts
Dinosaurs - 36,Triceratops had a massive skull that could reach over 2 meters long.,_____#_@___ ___ a ___#__@ __#__ _@__ c__#_ r___h _#__ 2 ___@_@ l_n_.,Fun Facts
Dinosaurs - 37,Spinosaurus had a tall sail rising along the middle of its back.,___________ ___ a __#_ s__@ @___#_ ___#_ _@_ __@_#_ @_ it_ _#__.,Fun Facts
Dinosaurs - 38,"The extinction asteroid struck Earth about 66 million years ago, near Mexico.","__@ @_______@_ __@_#___ _@_#__ ___#_ __#__ 66 _______ _____ a__, n_#_ ___i__.",Fun Facts
Dinosaurs - 39,"Diplodocus had an extremely long neck and a long, whip-like tail.","___#__#___ ___ a_ _x@______ l@__ _#__ _@_ _ __#_, ___@-__#_ __@_.",Fun Facts
Dinosaurs - 40,Hadrosaurs had hundreds of teeth packed tightly into their jaws.,_#__#__#_s h__ _______@ _@ @__@_ __c___ _#____y _#__ ___@_ __w_.,Fun Facts
Dinosaurs - 41,Some dinosaur nests contained dozens of eggs arranged in circular patterns.,_#__ _@__@___ __#__ __#___@__ ______ o_ ___s a_@_____ _n ______#_ __#____@.,Fun Facts
Dinosaurs - 42,Diplodocus had peg-like teeth suited for stripping leaves from plants.,_#_______@ @__ p__-_#__ _@__h __@___ f@_ ____#___g __#___ ____ ___#__.,Fun Facts
Dinosaurs - 43,"Parasaur dinosaur had a long, hollow crest that may have made sounds.","_@___#__ _____#__ _#_ a _@_g, h_____ c__#_ _#__ ___ ___@ ___e @_@___.",Fun Facts
Dinosaurs - 44,"Compy dynosaur was about the size of a small, modern cat when young.","_#_@_ _#______ ___ _b___ t__ __#_ o_ a _@_@_, _#____ @__ _#__ _@___.",Fun Facts
Dinosaurs - 45,Dinosaurs lived on Earth for more than 160 million years overall.,__@_@_#__ @____ _@ _____ _#_ __@_ t___ 160 _#___#_ _e___ o____#_.,Fun Facts
Dinosaurs - 46,Velociraptor was much smaller than the dinosaurs shown in movies.,_____@r__t__ __@ __#_ ___#___ ____ __e __#_@__@_ __#__ @_ __#___.,Fun Facts
Dinosaurs - 47,T. rex had one of the strongest known bites among land animals!,_. @__ _@_ ___ @_ _#_ ____#____ k____ __#_s a_#__ @__@ __#____!,Fun Facts
Dinosaurs - 48,Carnotaurus had tiny arms and 2 large horns above its eyes.,_#_n_______ _#_ @__y __@_ _#_ 2 l___@ __@__ __#__ _#_ @___.,Fun Facts
Dinosaurs - 49,Argenti dinosaur may have weighed more than 60 tons when fully grown!,____#_i ___#__u_ _#_ _#__ _e____@ _@__ @___ 60 __@_ __@_ _#___ ___w_!,Fun Facts
Dinosaurs - 50,The asteroid impact ended the reign of non-bird dinosaurs about 66 million years ago.,___ ____#___ _#__#_ _____ __@ _____ __ _o_-b___ __#____@_ @__#_ 66 @____@_ _e_r_ a__.,Fun Facts
